,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList
78,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa cearensis,
79,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa major,
80,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa paludivaga,
81,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa maculosa,
82,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa pallida,
83,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa annectens,
84,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa submontana,
85,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa nigroguttata,
86,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa chacoensis,
87,genus,Tinamiformes,Tinamidae,Tinamous,Rhynchotus,
88,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus maculicollis,Huayco Tinamou
89,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens,Red-winged Tinamou
90,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens catingae,
91,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens pallescens,
92,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens rufescens,
93,genus,Tinamiformes,Tinamidae,Tinamous,Nothoprocta,
94,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta taczanowskii,Taczanowski's Tinamou
95,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata,Ornate Tinamou
96,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata branickii,
97,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata ornata,
98,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata rostrata,
99,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria,Chilean Tinamou
100,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria perdicaria,
101,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria sanborni,
102,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens,Brushland Tinamou
103,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens cinerascens,
104,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens parvimaculata,
105,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii,Andean Tinamou
106,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii ambigua,
107,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii niethammeri,
108,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii oustaleti,
109,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii fulvescens,
110,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii pentlandii,
111,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii patriciae,
