,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList
4393,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gygis,
4394,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gygis alba,Atlantic White Tern
4395,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gygis candida,Blue-billed White Tern
4396,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gygis candida leucopes,
4397,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gygis candida candida,
4398,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gygis microrhyncha,Little White Tern
4399,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous,
4400,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous stolidus,Brown Noddy
4401,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous stolidus pileatus,
4402,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous stolidus galapagensis,
4403,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous stolidus ridgwayi,
4404,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous stolidus stolidus,
4405,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous tenuirostris,Lesser Noddy
4406,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous tenuirostris tenuirostris,
4407,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous tenuirostris melanops,
4408,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus,Black Noddy
4409,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus worcesteri,
4410,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus minutus,
4411,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus marcusi,
4412,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus melanogenys,
4413,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus diamesus,
4414,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus americanus,
4415,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous minutus atlanticus,
4416,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous albivitta,Grey Noddy
4417,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous albivitta albivitta,
4418,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous albivitta skottsbergii,
4419,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous albivitta imitatrix,
4420,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous ceruleus,Blue Noddy
4421,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous ceruleus saxatilis,
4422,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous ceruleus ceruleus,
4423,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous ceruleus nebouxi,
4424,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous ceruleus teretirostris,
4425,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Anous ceruleus murphyi,
4426,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion,
4427,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion aleuticus,Aleutian Tern
4428,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus,Sooty Tern
4429,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus fuscatus,
4430,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus nubilosus,
4431,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus serratus,
4432,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus oahuensis,
4433,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus crissalis,
4434,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion fuscatus luctuosus,
4435,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion lunatus,Spectacled Tern
4436,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion anaethetus,Bridled Tern
4437,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion anaethetus melanopterus,
4438,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion anaethetus antarcticus,
4439,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion anaethetus anaethetus,
4440,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Onychoprion anaethetus nelsoni,
4441,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula,
4442,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula balaenarum,Damara Tern
4443,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula nereis,Fairy Tern
4444,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula nereis exsul,
4445,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula nereis davisae,
4446,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula nereis nereis,
4447,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula albifrons,Little Tern
4448,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula albifrons albifrons,
4449,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula albifrons guineae,
4450,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula albifrons placens,
4451,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula albifrons sinensis,
4452,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula superciliaris,Yellow-billed Tern
4453,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula lorata,Peruvian Tern
4454,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula saundersi,Saunders's Tern
4455,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula antillarum,Least Tern
4456,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula antillarum athalassos,
4457,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula antillarum antillarum,
4458,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sternula antillarum browni,
4459,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Phaetusa,
4460,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Phaetusa simplex,Large-billed Tern
4461,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Hydroprogne,
4462,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Hydroprogne caspia,Caspian Tern
4463,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon,
4464,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon macrotarsa,Australian Tern
4465,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon nilotica,Gull-billed Tern
4466,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon nilotica nilotica,
4467,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon nilotica affinis,
4468,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon nilotica aranea,
4469,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon nilotica vanrossemi,
4470,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Gelochelidon nilotica gronvoldi,
4471,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larosterna,
4472,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larosterna inca,Inca Tern
4473,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias,
4474,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias hybrida,Whiskered Tern
4475,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias hybrida hybrida,
4476,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias hybrida delalandii,
4477,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias hybrida javanicus,
4478,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias albostriatus,Black-fronted Tern
4479,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias leucopterus,White-winged Tern
4480,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias niger,Black Tern
4481,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias niger niger,
4482,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chlidonias niger surinamensis,
4483,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus,
4484,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus sandvicensis,Sandwich Tern
4485,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus sandvicensis sandvicensis,
4486,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus sandvicensis acuflavidus,
4487,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus sandvicensis eurygnathus,
4488,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus elegans,Elegant Tern
4489,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bernsteini,Chinese Crested Tern
4490,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bergii,Greater Crested Tern
4491,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bergii bergii,
4492,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bergii thalassinus,
4493,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bergii velox,
4494,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bergii cristatus,
4495,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus maximus,Royal Tern
4496,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus albididorsalis,West African Crested Tern
4497,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bengalensis,Lesser Crested Tern
4498,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bengalensis emigratus,
4499,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bengalensis bengalensis,
4500,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Thalasseus bengalensis torresii,
4501,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna,
4502,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna aurantia,River Tern
4503,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna forsteri,Forster's Tern
4504,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna trudeaui,Snowy-crowned Tern
4505,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna paradisaea,Arctic Tern
4506,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna hirundinacea,South American Tern
4507,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata,Antarctic Tern
4508,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata tristanensis,
4509,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata sanctipauli,
4510,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata georgiae,
4511,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata gaini,
4512,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata vittata,
4513,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna vittata bethunei,
4514,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna virgata,Kerguelen Tern
4515,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna virgata mercuri,
4516,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna virgata virgata,
4517,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna hirundo,Common Tern
4518,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna hirundo hirundo,
4519,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna hirundo tibetana,
4520,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna hirundo minussensis,
4521,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna hirundo longipennis,
4522,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna repressa,White-cheeked Tern
4523,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna sumatrana,Black-naped Tern
4524,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna sumatrana mathewsi,
4525,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna sumatrana sumatrana,
4526,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna dougallii,Roseate Tern
4527,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna dougallii dougallii,
4528,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna dougallii arideensis,
4529,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna dougallii korustes,
4530,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna dougallii bangsi,
4531,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna dougallii gracilis,
4532,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna striata,White-fronted Tern
4533,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Sterna acuticauda,Black-bellied Tern
4534,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Creagrus,
4535,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Creagrus furcatus,Swallow-tailed Gull
4536,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Hydrocoloeus,
4537,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Hydrocoloeus minutus,Little Gull
4538,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rhodostethia,
4539,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rhodostethia rosea,Ross's Gull
4540,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rissa,
4541,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rissa brevirostris,Red-legged Kittiwake
4542,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rissa tridactyla,Black-legged Kittiwake
4543,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rissa tridactyla tridactyla,
4544,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Rissa tridactyla pollicaris,
4545,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Xema,
4546,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Xema sabini,Sabine's Gull
4547,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Pagophila,
4548,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Pagophila eburnea,Ivory Gull
4549,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Saundersilarus,
4550,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Saundersilarus saundersi,Saunders's Gull
4551,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus,
4552,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus genei,Slender-billed Gull
4553,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus philadelphia,Bonaparte's Gull
4554,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus ridibundus,Black-headed Gull
4555,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus brunnicephalus,Brown-headed Gull
4556,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus hartlaubii,Hartlaub's Gull
4557,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus cirrocephalus,Grey-headed Gull
4558,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus cirrocephalus cirrocephalus,
4559,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus cirrocephalus poiocephalus,
4560,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus maculipennis,Brown-hooded Gull
4561,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus serranus,Andean Gull
4562,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus bulleri,Black-billed Gull
4563,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus novaehollandiae,Silver Gull
4564,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus novaehollandiae forsteri,
4565,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus novaehollandiae novaehollandiae,
4566,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Chroicocephalus novaehollandiae scopulinus,
4567,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus,
4568,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus scoresbii,Dolphin Gull
4569,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus modestus,Grey Gull
4570,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus atricilla,Laughing Gull
4571,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus atricilla megalopterus,
4572,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus atricilla atricilla,
4573,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus pipixcan,Franklin's Gull
4574,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Leucophaeus fuliginosus,Lava Gull
4575,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus,
4576,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus ichthyaetus,Pallas's Gull
4577,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus relictus,Relict Gull
4578,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus audouinii,Audouin's Gull
4579,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus melanocephalus,Mediterranean Gull
4580,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus leucophthalmus,White-eyed Gull
4581,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Ichthyaetus hemprichii,Sooty Gull
4582,genus,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus,
4583,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus pacificus,Pacific Gull
4584,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus pacificus georgii,
4585,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus pacificus pacificus,
4586,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus belcheri,Belcher's Gull
4587,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus crassirostris,Black-tailed Gull
4588,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus atlanticus,Olrog's Gull
4589,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus heermanni,Heermann's Gull
4590,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus delawarensis,Ring-billed Gull
4591,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus brachyrhynchus,Short-billed Gull
4592,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus canus,Common Gull
4593,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus canus canus,
4594,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus canus heinei,
4595,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus canus kamtschatschensis,
4596,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus livens,Yellow-footed Gull
4597,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus occidentalis,Western Gull
4598,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus occidentalis occidentalis,
4599,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus occidentalis wymani,
4600,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus cachinnans,Caspian Gull
4601,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus dominicanus,Kelp Gull
4602,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus dominicanus dominicanus,
4603,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus dominicanus vetula,
4604,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus dominicanus judithae,
4605,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus dominicanus melisandae,
4606,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus dominicanus austrinus,
4607,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus smithsonianus,American Herring Gull
4608,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus vegae,Vega Gull
4609,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus mongolicus,Mongolian Gull
4610,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus argentatus,European Herring Gull
4611,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus argentatus argenteus,
4612,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus argentatus argentatus,
4613,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus michahellis,Yellow-legged Gull
4614,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus michahellis atlantis,
4615,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus michahellis michahellis,
4616,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus armenicus,Armenian Gull
4617,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus marinus,Great Black-backed Gull
4618,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus hyperboreus,Glaucous Gull
4619,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus hyperboreus hyperboreus,
4620,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus hyperboreus pallidissimus,
4621,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus hyperboreus barrovianus,
4622,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus hyperboreus leuceretes,
4623,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus fuscus,Lesser Black-backed Gull
4624,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus fuscus graellsii,
4625,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus fuscus intermedius,
4626,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus fuscus fuscus,
4627,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus fuscus heuglini,
4628,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus fuscus barabensis,
4629,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus californicus,California Gull
4630,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus californicus albertaensis,
4631,subspecies,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus californicus californicus,
4632,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus glaucescens,Glaucous-winged Gull
4633,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus schistisagus,Slaty-backed Gull
4634,species,Charadriiformes,Laridae,"Skimmers, Noddies, Terns, and Gulls",Larus glaucoides,Iceland Gull
