Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,German_name,Status,Rl-status
species,Caprimulgiformes,Caprimulgidae,Nightjars and Nighthawks,Caprimulgus aegyptius,Egyptian Nightjar,Pharaonen-Ziegenmelker, , 
species,Apodiformes,Apodidae,Swifts,Tachymarptis melba,Alpine Swift,Alpensegler,"lokaler Brut-, Zugvogel", 
species,Apodiformes,Apodidae,Swifts,Apus pacificus,Fork-tailed Swift,Pazifiksegler,besondere Ausnahmeerscheinung, 
species,Apodiformes,Apodidae,Swifts,Apus affinis,Little Swift,Haussegler,besondere Ausnahmeerscheinung, 
species,Apodiformes,Apodidae,Swifts,Apus apus,Common Swift,Mauersegler,"Brut-, Zugvogel", 
species,Apodiformes,Apodidae,Swifts,Apus pallidus,Pallid Swift,Fahlsegler,Ausnahmeerscheinung, 
species,Strigiformes,Tytonidae,Bay Owls and Barn Owls,Tyto alba,Western Barn Owl,Schleiereule,"Brut-, Jahresvogel", 
species,Strigiformes,Strigidae,Owls,Aegolius funereus,Boreal Owl,Raufußkauz,"Brut-, Jahresvogel", 
species,Strigiformes,Strigidae,Owls,Athene noctua,Little Owl,Steinkauz,"Brut-, Jahresvogel",V
species,Strigiformes,Strigidae,Owls,Surnia ulula,Northern Hawk-Owl,Sperbereule,Ausnahmeerscheinung, 
species,Strigiformes,Strigidae,Owls,Glaucidium passerinum,Eurasian Pygmy Owl,Sperlingskauz,"Brut-, Jahresvogel", 
species,Strigiformes,Strigidae,Owls,Otus scops,Eurasian Scops Owl,Zwergohreule,Ausnahmeerscheinung, 
species,Strigiformes,Strigidae,Owls,Asio flammeus,Short-eared Owl,Sumpfohreule,"seltener Brutvogel; Zugvogel, Wintergast",1
species,Strigiformes,Strigidae,Owls,Asio otus,Long-eared Owl,Waldohreule,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Strigiformes,Strigidae,Owls,Bubo scandiacus,Snowy Owl,Schneeeule,Ausnahmeerscheinung, 
species,Strigiformes,Strigidae,Owls,Bubo bubo,Eurasian Eagle-Owl,Uhu,"Brut-, Jahresvogel", 
species,Strigiformes,Strigidae,Owls,Strix aluco,Tawny Owl,Waldkauz,"Brut-, Jahresvogel", 
species,Strigiformes,Strigidae,Owls,Strix uralensis,Ural Owl,Habichtskauz,seltener Jahresvogel,R
species,Accipitriformes,Pandionidae,Osprey,Pandion haliaetus,Osprey,Fischadler,"Brut-, Zugvogel",3
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Elanus caeruleus,Black-winged Kite,Gleitaar,Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Gypaetus barbatus,Bearded Vulture,Bartgeier,Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Neophron percnopterus,Egyptian Vulture,Schmutzgeier,Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Pernis apivorus,European Honey Buzzard,Wespenbussard,"Brut-, Zugvogel",V
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Aegypius monachus,Cinereous Vulture,Mönchsgeier,besondere Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Gyps fulvus,Griffon Vulture,Gänsegeier,Ausnahmeerscheinung,0
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Clanga clanga,Greater Spotted Eagle,Schelladler,Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Clanga pomarina,Lesser Spotted Eagle,Schreiadler,seltener Brutvogel; Zugvogel,1
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Hieraaetus pennatus,Booted Eagle,Zwergadler,Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Aquila nipalensis,Steppe Eagle,Steppenadler,besondere Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Aquila chrysaetos,Golden Eagle,Steinadler,seltener Brutvogel; Jahresvogel,R
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Aquila fasciata,Bonelli's Eagle,Habichtsadler,besondere Ausnahmeerscheinung, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Circus macrourus,Pallid Harrier,Steppenweihe,seltener Zugvogel, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Circus cyaneus,Hen Harrier,Kornweihe,"seltener Brutvogel; Jahres-, Zugvogel, Wintergast",1
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Circus pygargus,Montagu's Harrier,Wiesenweihe,"Brut-, Zugvogel",2
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Circus aeruginosus,Western Marsh Harrier,Rohrweihe,"Brut-, Zugvogel", 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Milvus milvus,Red Kite,Rotmilan,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Milvus migrans,Black Kite,Schwarzmilan,"Brut-, Zugvogel", 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Buteo lagopus,Rough-legged Buzzard,Raufußbussard,Wintergast, 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Buteo buteo,Common Buzzard,Mäusebussard,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Accipitriformes,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",Buteo rufinus,Long-legged Buzzard,Adlerbussard,Ausnahmeerscheinung, 
species,Bucerotiformes,Upupidae,Hoopoes,Upupa epops,Common Hoopoe,Wiedehopf,"Brut-, Zugvogel",3
species,Coraciiformes,Coraciidae,Rollers,Coracias garrulus,European Roller,Blauracke,Ausnahmeerscheinung,0
species,Coraciiformes,Meropidae,Bee-eaters,Merops persicus,Blue-cheeked Bee-eater,Blauwangenspint,Ausnahmeerscheinung, 
species,Coraciiformes,Alcedinidae,Kingfishers,Alcedo atthis,Common Kingfisher,Eisvogel,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Piciformes,Picidae,Woodpeckers,Picus canus,Grey-headed Woodpecker,Grauspecht,"Brut-, Jahresvogel",2
species,Piciformes,Picidae,Woodpeckers,Picus viridis,European Green Woodpecker,Grünspecht,"Brut-, Jahresvogel", 
species,Piciformes,Picidae,Woodpeckers,Dryocopus martius,Black Woodpecker,Schwarzspecht,"Brut-, Jahresvogel", 
species,Piciformes,Picidae,Woodpeckers,Picoides tridactylus,Eurasian Three-toed Woodpecker,Dreizehenspecht,"Brut-, Jahresvogel", 
species,Piciformes,Picidae,Woodpeckers,Dendrocoptes medius,Middle Spotted Woodpecker,Mittelspecht,"Brut-, Jahresvogel", 
species,Piciformes,Picidae,Woodpeckers,Dendrocopos leucotos,White-backed Woodpecker,Weißrückenspecht,"Brut-, Jahresvogel",2
species,Piciformes,Picidae,Woodpeckers,Dendrocopos major,Great Spotted Woodpecker,Buntspecht,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Piciformes,Picidae,Woodpeckers,Dendrocopos syriacus,Syrian Woodpecker,Blutspecht,besondere Ausnahmeerscheinung, 
species,Piciformes,Picidae,Woodpeckers,Dryobates minor,Lesser Spotted Woodpecker,Kleinspecht,"Brut-, Jahresvogel, Wintergast",3
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco naumanni,Lesser Kestrel,Rötelfalke,Ausnahmeerscheinung, 
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco tinnunculus,Common Kestrel,Turmfalke,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco vespertinus,Red-footed Falcon,Rotfußfalke,seltener Zugvogel, 
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco eleonorae,Eleonora's Falcon,Eleonorenfalke,besondere Ausnahmeerscheinung, 
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco subbuteo,Eurasian Hobby,Baumfalke,"Brut-, Zugvogel",3
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco peregrinus,Peregrine Falcon,Wanderfalke,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco rusticolus,Gyrfalcon,Gerfalke,Ausnahmeerscheinung, 
species,Falconiformes,Falconidae,Falcons and Caracaras,Falco cherrug,Saker Falcon,Würgfalke,Ausnahmeerscheinung,0
species,Psittaciformes,Psittaculidae,Old World Parrots,Psittacula krameri,Rose-ringed Parakeet,Halsbandsittich,"eingeführter Brut-, Jahresvogel", 
species,Passeriformes,Vireonidae,"Shrike-babblers, Erpornis, and Vireos",Vireo olivaceus,Red-eyed Vireo,Rotaugenvireo,besondere Ausnahmeerscheinung, 
species,Passeriformes,Vireonidae,"Shrike-babblers, Erpornis, and Vireos",Vireo flavifrons,Yellow-throated Vireo,Gelbkehlvireo,besondere Ausnahmeerscheinung, 
species,Passeriformes,Oriolidae,Old World Orioles,Oriolus oriolus,Eurasian Golden Oriole,Pirol,"Brut-, Zugvogel",V
species,Passeriformes,Laniidae,Shrikes,Lanius excubitor,Great Grey Shrike,Raubwürger,"Brut-, Jahres-, Zugvogel, Wintergast",1
species,Passeriformes,Laniidae,Shrikes,Lanius nubicus,Masked Shrike,Maskenwürger,besondere Ausnahmeerscheinung, 
species,Passeriformes,Laniidae,Shrikes,Lanius minor,Lesser Grey Shrike,Schwarzstirnwürger,Ausnahmeerscheinung,0
species,Passeriformes,Laniidae,Shrikes,Lanius senator,Woodchat Shrike,Rotkopfwürger,seltener Zugvogel,1
species,Passeriformes,Laniidae,Shrikes,Lanius isabellinus,Isabelline Shrike,Isabellwürger,Ausnahmeerscheinung, 
species,Passeriformes,Laniidae,Shrikes,Lanius collurio,Red-backed Shrike,Neuntöter,"Brut-, Zugvogel", 
species,Passeriformes,Laniidae,Shrikes,Lanius phoenicuroides,Red-tailed Shrike,Rotschwanzwürger,besondere Ausnahmeerscheinung, 
species,Passeriformes,Laniidae,Shrikes,Lanius cristatus,Brown Shrike,Braunwürger,besondere Ausnahmeerscheinung, 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Pyrrhocorax graculus,Alpine Chough,Alpendohle,"Brut-, Jahresvogel",R
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Pyrrhocorax pyrrhocorax,Red-billed Chough,Alpenkrähe, , 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Garrulus glandarius,Eurasian Jay,Eichelhäher,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Pica pica,Eurasian Magpie,Elster,"Brut-, Jahresvogel", 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Nucifraga caryocatactes,Northern Nutcracker,Tannenhäher,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Coloeus monedula,Western Jackdaw,Dohle,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Corvus frugilegus,Rook,Saatkrähe,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Corvidae,"Crows, Jays, and Magpies",Corvus corone,Carrion Crow,Rabenkrähe,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Remizidae,Penduline Tits,Remiz pendulinus,Eurasian Penduline Tit,Beutelmeise,"Brut-, Zugvogel",1
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes cyanus,Azure Tit,Lasurmeise,besondere Ausnahmeerscheinung, 
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Cyanistes caeruleus,Eurasian Blue Tit,Blaumeise,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Parus major,Great Tit,Kohlmeise,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Periparus ater,Coal Tit,Tannenmeise,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Lophophanes cristatus,Crested Tit,Haubenmeise,"Brut-, Jahresvogel", 
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Poecile palustris,Marsh Tit,Sumpfmeise,"Brut-, Jahresvogel", 
species,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",Poecile montanus,Willow Tit,Weidenmeise,"Brut-, Jahresvogel", 
species,Passeriformes,Panuridae,Reedling,Panurus biarmicus,Bearded Reedling,Bartmeise,"Brut-, Jahres-, Zugvogel", 
species,Passeriformes,Alaudidae,Larks,Lullula arborea,Woodlark,Heidelerche,"Brut-, Zugvogel",V
species,Passeriformes,Alaudidae,Larks,Alauda leucoptera,White-winged Lark,Weißflügellerche, , 
species,Passeriformes,Alaudidae,Larks,Alauda arvensis,Eurasian Skylark,Feldlerche,"Brut-, Jahres-, Zugvogel, Wintergast",3
species,Passeriformes,Alaudidae,Larks,Galerida cristata,Crested Lark,Haubenlerche,"Brut-, Jahresvogel",1
species,Passeriformes,Alaudidae,Larks,Eremophila alpestris,Horned Lark,Ohrenlerche,"Zugvogel, Wintergast", 
species,Passeriformes,Alaudidae,Larks,Calandrella brachydactyla,Greater Short-toed Lark,Kurzzehenlerche,Ausnahmeerscheinung, 
species,Passeriformes,Alaudidae,Larks,Melanocorypha bimaculata,Bimaculated Lark,Bergkalanderlerche,besondere Ausnahmeerscheinung, 
species,Passeriformes,Alaudidae,Larks,Melanocorypha yeltoniensis,Black Lark,Schwarzsteppenlerche,besondere Ausnahmeerscheinung, 
species,Passeriformes,Alaudidae,Larks,Melanocorypha calandra,Calandra Lark,Kalanderlerche,Ausnahmeerscheinung, 
species,Passeriformes,Alaudidae,Larks,Alaudala rufescens,Mediterranean Short-toed Lark,Stummellerche, , 
species,Passeriformes,Cisticolidae,Cisticolas and Allies,Cisticola juncidis,Zitting Cisticola,Zistensänger,Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Hippolais icterina,Icterine Warbler,Gelbspötter,"Brut-, Zugvogel", 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Hippolais polyglotta,Melodious Warbler,Orpheusspötter,"Brut-, Zugvogel", 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Iduna caligata,Booted Warbler,Buschspötter,besondere Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Iduna rama,Sykes's Warbler,Steppenspötter,besondere Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Iduna pallida,Eastern Olivaceous Warbler,Blassspötter,besondere Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus schoenobaenus,Sedge Warbler,Schilfrohrsänger,"Brut-, Zugvogel", 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus paludicola,Aquatic Warbler,Seggenrohrsänger,"seltener, lokaler Brutvogel; seltener Zugvogel",1
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus melanopogon,Moustached Warbler,Mariskenrohrsänger,Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus agricola,Paddyfield Warbler,Feldrohrsänger,Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus dumetorum,Blyth's Reed Warbler,Buschrohrsänger,Ausnahmeerscheinung, 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus palustris,Marsh Warbler,Sumpfrohrsänger,"Brut-, Zugvogel", 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus scirpaceus,Common Reed Warbler,Teichrohrsänger,"Brut-, Zugvogel", 
species,Passeriformes,Acrocephalidae,Reed Warblers and Allies,Acrocephalus arundinaceus,Great Reed Warbler,Drosselrohrsänger,"Brut-, Zugvogel", 
species,Passeriformes,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",Helopsaltes certhiola,Pallas's Grasshopper Warbler,Streifenschwirl, , 
species,Passeriformes,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",Locustella lanceolata,Lanceolated Warbler,Strichelschwirl,besondere Ausnahmeerscheinung, 
species,Passeriformes,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",Locustella fluviatilis,River Warbler,Schlagschwirl,"Brut-, Zugvogel", 
species,Passeriformes,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",Locustella luscinioides,Savi's Warbler,Rohrschwirl,"Brut-, Zugvogel", 
species,Passeriformes,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",Locustella naevia,Common Grasshopper Warbler,Feldschwirl,"Brut-, Zugvogel",2
species,Passeriformes,Hirundinidae,Swallows,Riparia riparia,Sand Martin,Uferschwalbe,"Brut-, Zugvogel", 
species,Passeriformes,Hirundinidae,Swallows,Ptyonoprogne rupestris,Eurasian Crag Martin,Felsenschwalbe,"Brut-, Zugvogel", 
species,Passeriformes,Hirundinidae,Swallows,Hirundo rustica,Barn Swallow,Rauchschwalbe,"Brut-, Zugvogel",V
species,Passeriformes,Hirundinidae,Swallows,Delichon urbicum,Western House Martin,Mehlschwalbe,"Brut-, Zugvogel",3
species,Passeriformes,Hirundinidae,Swallows,Cecropis daurica,Eastern Red-rumped Swallow,Rötelschwalbe,Ausnahmeerscheinung, 
species,Passeriformes,Aegithalidae,"Tit-warblers, Bushtits, and Long-tailed Tit",Aegithalos caudatus,Long-tailed Tit,Schwanzmeise,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Cettiidae,Bush Warblers and Allies,Cettia cetti,Cetti's Warbler,Seidensänger,Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus sibilatrix,Wood Warbler,Waldlaubsänger,"Brut-, Zugvogel", 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus bonelli,Western Bonelli's Warbler,Berglaubsänger,"Brut-, Zugvogel", 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus inornatus,Yellow-browed Warbler,Gelbbrauen-Laubsänger,seltener Zugvogel, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus humei,Hume's Leaf Warbler,Tienschan-Laubsänger,Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus proregulus,Pallas's Leaf Warbler,Goldhähnchen-Laubsänger,Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus schwarzi,Radde's Warbler,Bartlaubsänger,Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus fuscatus,Dusky Warbler,Dunkellaubsänger,Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus trochilus,Willow Warbler,Fitis,"Brut-, Zugvogel", 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus ibericus,Iberian Chiffchaff,Iberienzilpzalp,Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus collybita,Common Chiffchaff,Zilpzalp,"Brut-, Zugvogel", 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus coronatus,Eastern Crowned Warbler,Kronenlaubsänger,besondere Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus nitidus,Green Warbler,Wacholderlaubsänger,besondere Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus plumbeitarsus,Two-barred Warbler,Middendorff-Laubsänger,besondere Ausnahmeerscheinung, 
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus trochiloides,Greenish Warbler,Grünlaubsänger,"seltener, lokaler Brutvogel; seltener Zugvogel",R
species,Passeriformes,Phylloscopidae,Leaf Warblers,Phylloscopus borealis,Arctic Warbler,Wanderlaubsänger,Ausnahmeerscheinung, 
species,Passeriformes,Sylviidae,Sylviid Warblers and Allies,Sylvia borin,Garden Warbler,Gartengrasmücke,"Brut-, Zugvogel", 
species,Passeriformes,Sylviidae,Sylviid Warblers and Allies,Sylvia atricapilla,Eurasian Blackcap,Mönchsgrasmücke,"Brut-, Zugvogel", 
species,Passeriformes,Regulidae,Kinglets,Regulus ignicapilla,Common Firecrest,Sommergoldhähnchen,"Brut-, Zugvogel", 
species,Passeriformes,Regulidae,Kinglets,Regulus regulus,Goldcrest,Wintergoldhähnchen,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Tichodromidae,Wallcreeper,Tichodroma muraria,Wallcreeper,Mauerläufer,"Brut-, Jahresvogel",R
species,Passeriformes,Certhiidae,Treecreepers,Certhia familiaris,Eurasian Treecreeper,Waldbaumläufer,"Brut-, Jahresvogel", 
species,Passeriformes,Certhiidae,Treecreepers,Certhia brachydactyla,Short-toed Treecreeper,Gartenbaumläufer,"Brut-, Jahresvogel", 
species,Passeriformes,Troglodytidae,Wrens,Troglodytes troglodytes,Eurasian Wren,Zaunkönig,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Mimidae,Mockingbirds and Thrashers,Dumetella carolinensis,Grey Catbird,Katzenvogel, , 
species,Passeriformes,Sturnidae,"Rhabdornis, Starlings, and Mynas",Pastor roseus,Rosy Starling,Rosenstar,Ausnahmeerscheinung, 
species,Passeriformes,Cinclidae,Dippers,Cinclus cinclus,White-throated Dipper,Wasseramsel,"Brut-, Jahresvogel, Wintergast", 
species,Passeriformes,Turdidae,Thrushes and Allies,Zoothera aurea,White's Thrush,Erddrossel,Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Catharus ustulatus,Swainson's Thrush,Zwergmusendrossel,besondere Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Catharus minimus,Grey-cheeked Thrush,Grauwangen-Musendrossel, , 
species,Passeriformes,Turdidae,Thrushes and Allies,Catharus guttatus,Hermit Thrush,Einsiedler-Musendrossel, , 
species,Passeriformes,Turdidae,Thrushes and Allies,Geokichla sibirica,Siberian Thrush,Schieferdrossel,besondere Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus viscivorus,Mistle Thrush,Misteldrossel,"Brut-, Jahres-, Zugvogel", 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus philomelos,Song Thrush,Singdrossel,"Brut-, Zugvogel", 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus iliacus,Redwing,Rotdrossel,"Zugvogel, Wintergast", 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus merula,Common Blackbird,Amsel,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus pilaris,Fieldfare,Wacholderdrossel,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus torquatus,Ring Ouzel,Ringdrossel,"Brut-, Zugvogel", 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus ruficollis,Red-throated Thrush,Rotkehldrossel,besondere Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus atrogularis,Black-throated Thrush,Schwarzkehldrossel,Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus naumanni,Naumann's Thrush,Rostschwanzdrossel,besondere Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus eunomus,Dusky Thrush,Rostflügeldrossel,besondere Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus unicolor,Tickell's Thrush,Einfarbdrossel, , 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus obscurus,Eyebrowed Thrush,Weißbrauendrossel,Ausnahmeerscheinung, 
species,Passeriformes,Turdidae,Thrushes and Allies,Turdus migratorius,American Robin,Wanderdrossel,besondere Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Cercotrichas galactotes,Rufous-tailed Scrub Robin,Heckensänger,Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Muscicapa striata,Spotted Flycatcher,Grauschnäpper,"Brut-, Zugvogel",V
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Erithacus rubecula,European Robin,Rotkehlchen,"Brut-, Jahres-, Zugvogel, Wintergast", 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Luscinia luscinia,Thrush Nightingale,Sprosser,"Brut-, Zugvogel",V
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Luscinia megarhynchos,Common Nightingale,Nachtigall,"Brut-, Zugvogel", 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Luscinia svecica,Bluethroat,Blaukehlchen,"Brut-, Zugvogel", 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Calliope calliope,Siberian Rubythroat,Rubinkehlchen,besondere Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Ficedula parva,Red-breasted Flycatcher,Zwergschnäpper,"Brut-, Zugvogel",V
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Ficedula albicollis,Collared Flycatcher,Halsbandschnäpper,"Brut-, Zugvogel",3
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Ficedula hypoleuca,European Pied Flycatcher,Trauerschnäpper,"Brut-, Zugvogel",3
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Tarsiger cyanurus,Red-flanked Bluetail,Blauschwanz,Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Phoenicurus ochruros,Black Redstart,Hausrotschwanz,"Brut-, Zugvogel", 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Phoenicurus phoenicurus,Common Redstart,Gartenrotschwanz,"Brut-, Zugvogel", 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Monticola saxatilis,Common Rock Thrush,Steinrötel,"seltener, lokaler Brutvogel; Ausnahmeerscheinung",1
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Monticola solitarius,Blue Rock Thrush,Blaumerle,besondere Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Saxicola maurus,Siberian Stonechat,Pallasschwarzkehlchen,Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Saxicola rubicola,European Stonechat,Schwarzkehlchen,"Brut-, Zugvogel", 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Oenanthe deserti,Desert Wheatear,Wüstensteinschmätzer,Ausnahmeerscheinung, 
species,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers, and Allies",Oenanthe hispanica,Western Black-eared Wheatear,Mittelmeer-Steinschmätzer,Ausnahmeerscheinung, 
